Batsman,Runs,Matches,Highest Score,Average,Strike Rate,Hundreds,Fifties,Fours,Sixes
Virat Kohli,741,15,113*,61.75,154.69,1,5,62,38
Ruturaj Gaikwad,583,14,108*,53.00,141.16,1,4,58,18
Riyan Parag,573,16,84*,52.09,149.21,0,4,40,33
Travis Head,567,15,102,40.50,191.55,1,4,64,32
Sanju Samson,531,16,86,48.27,153.46,0,5,48,24
Sai Sudharsan,527,12,103,47.91,141.28,1,2,48,16
K L Rahul,520,14,82,37.14,136.12,0,4,45,19
Nicholas Pooran,499,14,75,62.38,178.21,0,3,35,36
Sunil Narine,488,15,109,34.86,180.74,1,3,50,33
Abhishek Sharma,484,16,75*,32.27,204.21,0,3,36,42
Heinrich Klaasen,479,16,80*,39.92,171.07,0,4,19,38
Rishabh Pant,446,13,88*,40.55,155.40,0,3,36,25
Faf Du Plessis,438,15,64,29.20,161.62,0,4,47,21
Phil Salt,435,12,89*,39.55,182.00,0,4,50,24
Yashasvi Jaiswal,435,16,104*,31.07,155.91,1,1,54,16
Shubman Gill,426,12,104,38.73,147.40,1,2,37,15
Rohit Sharma,417,14,105*,32.08,150.00,1,1,45,23
Tilak Varma,416,13,65,41.60,149.64,0,3,35,19
Shivam Dube,396,14,66*,36.00,162.29,0,3,28,28
Rajat Patidar,395,15,55,30.38,177.13,0,5,21,33
Marcus Stoinis,388,14,124*,32.33,147.52,1,2,39,16
Tristan Stubbs,378,14,71*,54.00,190.90,0,3,24,26
Venkatesh Iyer,370,15,70,46.25,158.79,0,4,35,19
Jos Buttler,359,11,107*,39.89,140.78,2,0,36,12
Shashank Singh,354,14,68*,44.25,164.65,0,2,28,21
Shreyas Iyer,351,15,58*,39.00,146.86,0,2,34,14
Suryakumar Yadav,345,11,102*,34.50,167.47,1,3,36,18
Prabhsimran Singh,334,14,71,23.86,156.80,0,2,34,20
Jake Fraser - McGurk,330,9,84,36.67,234.04,0,4,32,28
Abishek Porel,327,14,65,32.70,159.51,0,2,36,13
Dinesh Karthik,326,15,83,36.22,187.35,0,2,27,22
Ishan Kishan,320,14,69,22.86,148.83,0,1,35,16
Daryl Mitchell,318,13,63,28.91,142.60,0,2,27,10
Nitish Kumar Reddy,303,13,76*,33.67,142.92,0,2,15,21
Jonny Bairstow,298,11,108*,29.80,152.82,1,0,33,14
Sam Curran,270,13,63*,27.00,123.28,0,2,24,6
Ravindra Jadeja,267,14,57*,44.50,142.78,0,1,22,8
Cameron Green,255,13,46,31.88,143.25,0,0,22,10
Quinton De Kock,250,11,81,22.73,134.40,0,3,29,9
Ajinkya Rahane,242,13,45,20.17,123.46,0,0,23,7
Tim David,241,13,45*,30.13,158.55,0,0,14,15
Ayush Badoni,235,14,55*,29.38,137.42,0,2,22,5
Axar Patel,235,14,66,29.38,131.28,0,2,19,10
Will Jacks,230,8,100*,32.86,175.57,1,1,16,18
Andre Russell,222,15,64*,31.71,185.00,0,1,20,16
Rachin Ravindra,222,10,61,22.20,160.86,0,1,22,12
Aiden Markram,220,11,50,24.44,124.29,0,1,18,4
Hardik Pandya,216,14,46,18.00,143.04,0,0,17,11
Shahbaz Ahmed,215,16,59*,23.89,129.51,0,1,7,13
Rilee Rossouw,211,8,61,26.38,181.89,0,1,25,11
David Miller,210,9,55,35.00,151.07,0,1,20,8
Prithvi Shaw,198,8,66,24.75,163.63,0,1,30,5
Dhruv Jurel,195,15,56*,24.38,138.29,0,2,18,7
Ashutosh Sharma,189,11,61,27.00,167.25,0,1,10,15
Rahul Tewatia,188,12,36*,26.86,145.73,0,0,24,5
Jitesh Sharma,187,14,32*,17.00,131.69,0,0,9,12
Shai Hope,183,9,41,22.88,150.00,0,0,12,12
Abdul Samad,182,16,37*,18.20,168.51,0,0,15,11
Rinku Singh,168,15,26,18.67,148.67,0,0,13,8
David Warner,168,8,52,21.00,134.40,0,1,17,10
Rahul Tripathi,165,6,55,27.50,143.47,0,1,18,6
Angkrish Raghuvanshi,163,10,54,23.29,155.23,0,1,16,8
MS Dhoni,161,14,37*,53.67,220.54,0,0,14,13
Shikhar Dhawan,152,5,70,30.40,125.61,0,1,18,4
Deepak Hooda,145,11,50,18.13,138.09,0,1,16,3
Naman Dhir,140,7,62*,23.33,177.21,0,1,12,10
Pat Cummins,136,16,35*,22.67,143.15,0,0,9,8
Wriddhiman Saha,136,9,39,15.11,118.26,0,0,18,3
Krunal Pandya,133,14,43*,33.25,126.66,0,0,8,5
Moeen Ali,128,8,56,25.60,130.61,0,1,7,8
Shahrukh Khan,127,7,58,18.14,169.33,0,1,9,9
Ramandeep Singh,125,15,35,31.25,201.61,0,0,5,12
Mahipal Lomror,125,10,33,15.63,183.82,0,0,9,9
Shimron Hetmyer,113,12,27*,22.60,163.76,0,0,9,7
Liam Livingstone,111,7,38*,22.20,142.30,0,0,8,7
Nehal Wadhera,109,6,49,18.17,129.76,0,0,9,6
Rovman Powell,103,10,27,17.17,151.47,0,0,10,6
Rashid Khan,102,12,31,20.40,143.66,0,0,11,3
Anuj Rawat,98,5,48,24.50,127.27,0,0,10,3
Ravichandran Ashwin,86,15,29,14.33,116.21,0,0,5,4
Arshad Khan,83,4,58*,41.50,153.70,0,1,6,5
Vijay Shankar,83,7,17,16.60,115.27,0,0,7,2
Harpreet Brar,75,13,29,37.50,138.88,0,0,8,2
Dewald Brevis,69,3,46,23.00,116.94,0,0,3,5
Mayank Agarwal,64,4,32,16.00,112.28,0,0,8,1
Rahmanullah Gurbaz,62,3,39,31.00,134.78,0,0,7,4
Mitchell Marsh,61,4,23,15.25,160.52,0,0,9,3
Atharva Taide,61,2,46,30.50,156.41,0,0,7,2
Romario Shepherd,57,6,39*,28.50,271.42,0,0,5,5
Glenn Maxwell,52,10,28,5.78,120.93,0,0,6,2
Sameer Rizwi,51,8,21,12.75,118.60,0,0,4,2
Tom Kohler- Cadmore,48,4,20,16.00,88.88,0,0,7,1
Kuldeep Yadav,47,11,35*,15.67,114.63,0,0,6,1
Sikandar Raza,43,2,28,21.50,113.15,0,0,2,2
Manish Pandey,42,1,42,42.00,135.48,0,0,2,2
Azmatullah Omarzai,42,7,17,10.50,127.27,0,0,2,2
Nitish Rana,42,2,33,21.00,123.52,0,0,5,1
Devdutt Padikkal,38,7,13,5.43,71.69,0,0,3,0
Swapnil Singh,37,7,15*,18.50,176.19,0,0,3,3
Mohammad Nabi,35,7,23,8.75,112.90,0,0,2,2
Shubham Dubey,33,4,25,16.50,173.68,0,0,3,2
Karn Sharma,31,9,20,10.33,206.66,0,0,2,3
Rasikh Salam,28,8,10,7.00,93.33,0,0,4,0
Kane Williamson,27,2,26,13.50,100.00,0,0,4,0
Harpreet Bhatia,27,2,14,13.50,79.41,0,0,2,0
Suyash S Prabhudessai,24,1,24,24.00,133.33,0,0,3,0
Jaydev Unadkat,24,11,8*,8.00,92.30,0,0,2,1
Tanush Kotian,24,1,24,24.00,77.41,0,0,3,0
Bhuvneshwar Kumar,23,16,13,7.67,79.31,0,0,3,0
Yudhvir Singh,21,2,14,10.50,150.00,0,0,1,2
Rahul Chahar,21,9,16,21.00,140.00,0,0,3,1
Shardul Thakur,21,9,17,21.00,123.52,0,0,2,1
Ashton Turner,21,2,16,10.50,116.66,0,0,0,2
Kagiso Rabada,20,11,11*,20.00,142.85,0,0,0,2
Gulbadin Naib,19,2,19,19.00,126.66,0,0,1,1
Marco Jansen,18,3,17,18.00,138.46,0,0,1,1
Saurav Chauhan,18,3,9,6.00,120.00,0,0,1,1
Sumit Kumar,18,4,9*,9.00,75.00,0,0,2,1
Piyush Chawla,15,11,10,3.75,100.00,0,0,1,1
Sanvir Singh,14,4,8*,14.00,116.66,0,0,1,0
Trent Boult,14,16,12,7.00,87.50,0,0,2,0
Mitchell Santner,14,3,11,4.67,82.35,0,0,1,0
Gerald Coetzee,14,10,8,3.50,63.63,0,0,0,1
Sai Kishore,13,5,13,13.00,216.66,0,0,0,2
Harshal Patel,13,14,12,4.33,68.42,0,0,1,1
Mohammed Siraj,12,14,12,6.00,150.00,0,0,0,2
Darshan Nalkande,12,3,12,12.00,109.09,0,0,0,1
Jasprit Bumrah,12,13,8*,-,100.00,0,0,1,0
Umesh Yadav,12,7,10*,12.00,80.00,0,0,0,1
Avesh Khan,10,16,7*,-,200.00,0,0,1,0
Lalit Yadav,10,2,7,5.00,83.33,0,0,1,0
Luke Wood,9,2,9*,-,300.00,0,0,0,1
Arshin Atul Kulkarni,9,2,9,4.50,112.50,0,0,2,0
Mitchell Starc,9,14,6*,4.50,81.81,0,0,1,0
Abhinav Manohar,9,2,8,4.50,56.25,0,0,1,0
Donovan Ferreira,8,2,7,4.00,72.72,0,0,0,0
Vijayakanth Viyaskanth,7,3,7*,-,140.00,0,0,0,0
Spencer Johnson,6,5,5*,-,85.71,0,0,1,0
Anmolpreet Singh,5,2,5,2.50,83.33,0,0,1,0
Noor Ahmad,5,10,4,2.50,55.55,0,0,1,0
Arshdeep Singh,4,14,4,4.00,133.33,0,0,1,0
Akash Madhwal,4,5,4*,-,80.00,0,0,0,0
Matthew Wade,4,2,4,4.00,66.66,0,0,0,0
Ravi Bishnoi,4,14,2,1.33,66.66,0,0,0,0
Anrich Nortje,4,6,4,2.00,50.00,0,0,0,0
Mohit Sharma,4,12,4,2.00,26.66,0,0,0,0
Anukul Roy,3,4,3*,-,100.00,0,0,0,0
Reece Topley,3,4,3*,-,50.00,0,0,0,0
Kumar Kushagra,3,4,2,1.00,42.85,0,0,0,0
Mukesh Kumar,3,10,3,3.00,33.33,0,0,0,0
Ricky Bhui,3,2,3,1.50,33.33,0,0,0,0
Mohsin Khan,2,9,2,2.00,200.00,0,0,0,0
Richard Gleeson,2,2,2*,-,100.00,0,0,0,0
Jhye Richardson,2,1,2,2.00,100.00,0,0,0,0
Anshul Kamboj,2,3,2*,-,100.00,0,0,0,0
Akash Deep,2,1,2*,-,100.00,0,0,0,0
Shivam Singh,2,1,2*,-,66.66,0,0,0,0
Naveen-Ul-Haq,2,10,2*,-,50.00,0,0,0,0
B R Sharath,2,1,2,2.00,40.00,0,0,0,0
Vaibhav Arora,1,10,1*,-,100.00,0,0,0,0
Shams Mulani,1,2,1*,-,100.00,0,0,0,0
Lockie Ferguson,1,7,1,1.00,100.00,0,0,0,0
Lizaad Williams,1,2,1*,-,50.00,0,0,0,0
Keshav Maharaj,1,2,1,1.00,50.00,0,0,0,0
Manav Suthar,1,1,1,1.00,50.00,0,0,0,0
Vyshak Vijaykumar,1,4,1*,1.00,33.33,0,0,0,0
Ishant Sharma,1,9,1*,-,14.28,0,0,0,0
,,,,,,,,,
